id,question_english,topic,category
APL_ADV_COM_Q14_01,"I'd like to now talk about where you live. Many homes today are equipped with smart appliances and electronic devices that make everyday life much more convenient. What are some of these modern home appliances, and how have they changed the way you handle household chores?",가전제품,어드밴스
APL_ADV_COM_Q15_02,"Think about a specific modern appliance or smart device that people consider incredibly useful or convenient to have at home. What do people generally say about this home appliance, and what makes it so popular?",가전제품,어드밴스
APL_ADV_COM_Q15_03,How have modern home appliances completely changed our daily lives? How was doing household chores in the past different from what it is like now? What would you say is the biggest impact these devices have had on our lifestyles?,가전제품,어드밴스
APL_GEN_COM_CMP_03,"Compare a specific household appliance you used during your childhood with a similar device you use today. How are they different when it comes to their smart features, appearance, and overall convenience?",가전제품,일반
APL_GEN_COM_CMP_04,How have household appliances changed over the past few years due to new technology? Give me a few specific examples of these modern upgrades and explain how they have transformed people's daily routines at home.,가전제품,일반
APL_GEN_COM_DESC_01,"Please describe an electronic household appliance you bought not too long ago. Explain its primary functions and unique features, and tell me how it has made your chores easier.",가전제품,일반
APL_GEN_COM_DESC_02,"Are there any ongoing controversies or problems regarding household appliances where you live? You could discuss topics like high electricity bills, difficult maintenance, or eco-friendly disposal.",가전제품,일반
APL_GEN_COM_SPC_05,"Have you ever experienced significant inconvenience because a household appliance suddenly broke down or malfunctioned? Describe exactly what happened, how it disrupted your daily routine, and what steps you took to resolve the issue.",가전제품,일반
APM_GEN_COM_CMP_03,"How have appointments with specialists, such as doctors or hair stylists, changed over time? What are the biggest similarities and differences between the way you booked and managed these appointments in the past compared to how you do it nowadays?",약속,일반
APM_GEN_COM_DESC_01,"What are the most common types of reservations or appointments you make? Who are the professionals you usually meet with, and is the booking process generally easy or challenging for you?",약속,일반
APM_GEN_COM_RCT_04,"Discuss the very last appointment you went to and the circumstances surrounding it. Who exactly did you have to meet with, and what was the main purpose of the visit? Tell me everything that happened during the appointment in detail.",약속,일반
APM_GEN_COM_RTN_02,What is the typical procedure for scheduling an appointment? Describe the sequence you follow and the factors you must consider before finalizing the time and date.,약속,일반
APR_RP_SEL_Q11_01,"I'd like to give you a situation and ask you to act it out. You are currently at the airport, but you just found out your flight has been delayed for several hours. Walk up to the airline counter and ask the staff member three or four questions regarding this delay and what you should do next.",여행(공항),롤플레이
APR_RP_SEL_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. Due to a severe flight delay, you are going to miss a very important business meeting. Call your client right away, explain the travel situation, and offer two or three alternative ways to conduct the meeting.",여행(공항),롤플레이
APR_RP_SEL_SPC_03,That's the end of the situation. Have you ever faced unexpected challenges or obstacles while traveling? Tell me about a specific difficult experience you had on a trip and explain what you did to manage the problem. Give me all the necessary details.,여행(공항),롤플레이
APT_GEN_COM_CHILD_03,"Tell me about a specific appointment you clearly remember from your childhood. You might have visited a doctor, a dentist, or a new school. What was the exact purpose of the visit, and how did you feel while you were there?",예약,일반
APT_GEN_COM_DESC_01,What specific types of locations do you visit when you have various scheduled appointments? Tell me about the places you go to for professional or personal meetings.,예약,일반
APT_GEN_COM_RTN_02,What is your typical routine when you have a scheduled appointment? Describe the steps you usually take to prepare and make sure you arrive on time.,예약,일반
APT_GEN_COM_SPC_04,"Sometimes, amusing or completely surprising things happen during a scheduled meeting. Tell me about a specific appointment that you still remember clearly. Describe who you were meeting, what unexpectedly happened, and why the experience was so memorable.",예약,일반
BIC_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. You need to run a quick errand at the shopping mall and want to borrow your friend's bicycle. Call your friend and ask three or four questions to see if it's possible to use their bike for the afternoon.,자전거,롤플레이
BIC_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. You parked your friend's borrowed bicycle outside a shopping mall, but it was unfortunately crushed by a delivery truck. Call your friend, confess the terrible news, and give two or three alternatives to compensate them for the loss.",자전거,롤플레이
BIC_RP_COM_SPC_03,"That's the end of the situation. Now, tell me about an incident where you encountered a problem while riding a bicycle or using another form of transportation. What exactly went wrong, and how did you manage to resolve the complication?",자전거,롤플레이
BNK_GEN_COM_CMP_03,"Banking services have definitely changed over time. Tell me about a local bank you remember visiting during your childhood. What was the facility like back then, and how was the experience different from using modern banks today?",은행,일반
BNK_GEN_COM_DESC_01,"Tell me about the financial institutions in your region. What is the general interior and exterior of these banks like, and in what kind of neighborhoods are they situated?",은행,일반
BNK_GEN_COM_RTN_02,"Tell me about the typical errands you handle when visiting a bank. Do you mainly go for depositing money, seeking financial advice, or something else?",은행,일반
BNK_GEN_COM_SPC_04,"Sometimes, unexpected issues arise when dealing with financial institutions. Tell me in detail about a problem you experienced involving your bank. Perhaps you encountered a closed branch when you needed urgent service, or the bank made a transactional error. How did you eventually solve the issue?",은행,일반
BNK_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. You are looking to open a new bank account. Call a local bank branch and ask the teller three or four questions about their account options and the services they provide.,은행,롤플레이
BNK_RP_COM_Q11_02,"I'd like to give you a situation and ask you to act it out. You need to set up a new bank account today. Walk into the bank, approach a representative, and ask three or four questions about the exact documents and steps required to open the account.",은행,롤플레이
BNK_RP_COM_Q12_03,"I'm sorry, but there is a problem which I'll need you to resolve. You recently received your new bank card in the mail, but it's not working properly when you try to use it. Call the bank, explain the technical issue, and offer two or three suggestions on how to quickly get a replacement card.",은행,롤플레이
BNK_RP_COM_Q12_04,"I'm sorry, but there is a problem which I'll need you to resolve. You mistakenly left your new bank card behind at the restaurant after having dinner. Call the restaurant, explain your situation, provide a detailed description of the card, and suggest a few ways they can safely return it to you.",은행,롤플레이
BNK_RP_COM_SPC_05,"That's the end of the situation. Have you ever experienced an issue with your debit or credit card while using an ATM? Maybe the machine swallowed your card, or you noticed someone else had left their cash behind. Describe the exact problem you encountered in detail.",은행,롤플레이
BNK_RP_COM_SPC_06,That's the end of the situation. Can you recall a specific issue you had with a bank account or credit card that forced you to ask for professional help? Perhaps your card was declined or went missing. Tell me about that frustrating experience and how it was resolved in as much detail as you can.,은행,롤플레이
BPT_RP_COM_Q11_01,"I'd like to give you a situation and ask you to act it out. A friend has asked you to help organize an upcoming birthday party. Call your friend back and ask three or four questions to figure out the guest list, timing, and what exactly you need to prepare.",생일파티,롤플레이
BPT_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. You promised to help your friend set up for their birthday party, but a sudden issue means you can't even attend it anymore. Call your friend, explain why you are bailing, and offer two or three alternative ways you can still help them out or celebrate later.",생일파티,롤플레이
BPT_RP_COM_SPC_03,"That's the end of the situation. Have you ever organized a trip or a party, only to cancel it at the very last minute due to an unexpected event? Tell me exactly what came up and how it prevented you from going.",생일파티,롤플레이
CAR_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. Your car suddenly breaks down while you are driving through a small town. Visit the nearest auto repair shop and ask the mechanic three or four questions to find out how and when your car can be fixed.,자동차 고장,롤플레이
CAR_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. Your car suddenly broke down on the road, meaning you will completely miss an important business meeting. Call your client immediately, explain your stressful situation, and offer two or three alternative solutions to reschedule the meeting.",자동차 고장,롤플레이
CAR_RP_COM_SPC_03,"That's the end of the situation. Tell me about the most recent time you experienced mechanical trouble with a car. What exactly went wrong with the vehicle, and what steps did you take to get it repaired? Please give me plenty of details.",자동차 고장,롤플레이
CLB_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. Your friend has invited you to a local festival in their neighborhood. Call your friend and ask three or four questions to get more details about what kind of celebration it is and what you can expect to see.,기념모임,롤플레이
CLB_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. On the day of the big celebration, a water pipe suddenly breaks in your home, and you have to stay until the plumber fixes it. Call your friend, explain the emergency, and propose some alternative plans to hang out another time.",기념모임,롤플레이
CLB_RP_COM_SPC_03,Has anything particularly interesting or unusual ever occurred in your neighborhood? Tell me in detail about a highly memorable local event. Be sure to explain what happened from beginning to end.,기념모임,롤플레이
CLT_RP_COM_Q11_01,I'd like to give you a situation and ask you to act it out. You are currently shopping for some new clothes and need some help finding the right items. Approach a store assistant and ask three or four questions about the specific clothes you are looking to buy.,옷 구매,롤플레이
CLT_RP_COM_Q11_02,"I'd like to give you a situation and ask you to act it out. You are at a clothing store looking to update your wardrobe. Go up to a salesperson, explain exactly what kind of outfit you are looking for, and ask two or three questions about the items they have in stock.",옷 구매,롤플레이
CLT_RP_COM_Q12_03,"I'm sorry, but there is a problem which I'll need you to resolve. The clothes you recently ordered just arrived, but you noticed a defect on one of the shirts. Call the clothing store, explain the issue in detail, and offer two or three alternatives to get this solved.",옷 구매,롤플레이
CLT_RP_COM_Q12_04,"I'm sorry, but there is a problem which I'll need you to resolve. Your recent clothing order was delivered to your home, but you realize that one of the shirts is the wrong item entirely. Call the store, explain the mix-up, and make two or three suggestions on how to exchange it for the right one.",옷 구매,롤플레이
CLT_RP_COM_SPC_05,"That's the end of the situation. Have you ever purchased a piece of clothing only to realize you didn't actually like it, or discovered it was ripped or stained? Tell me the story of a time when you bought a new outfit that turned out to be defective. What steps did you take to solve the issue?",옷 구매,롤플레이
CLT_RP_COM_SPC_06,"That's the end of the situation. Have you ever bought an item of clothing and later discovered a serious flaw, like a noticeable tear or a hidden stain? Tell me exactly what the problem was and what you did to handle the return or exchange process.",옷 구매,롤플레이
DNT_GEN_COM_CMP_03,"How was the dental clinic you visited as a child different from the ones you go to as an adult? What specific things have changed regarding the facilities or treatments, and how do you feel about those improvements?",치과,일반
DNT_GEN_COM_DESC_01,"Describe a dental clinic located close to where you live. What is the interior design like, how is the waiting area, and how would you rate the quality of their care?",치과,일반
DNT_GEN_COM_RCT_04,"Can you tell me about a recent experience you had at a dentist's office? What kind of dental treatment or check-up did you receive, and how comfortable was the overall service there?",치과,일반
DNT_GEN_COM_RTN_02,"Tell me about your regular visits to the dental clinic. What kind of check-ups or treatments do you typically receive, and what is your overall routine there?",치과,일반
DNT_GEN_COM_SPC_05,"Tell me about an unforgettable experience you had during a visit to the dentist's office. What happened before, during, or after your treatment? Explain everything from beginning to end in detail.",치과,일반
DRA_RP_COM_Q11_01,"I'd like to give you a situation and ask you to act it out. You need to schedule a medical check-up. Call your doctor's office, explain the reason for your visit, and ask three or four questions to find out about available appointment times and any necessary preparations.",병원예약,롤플레이
DRA_RP_COM_Q12_02,"I'm sorry, but there is a problem which I'll need you to resolve. On the very day of your medical appointment, you realize an urgent matter will prevent you from making it. Call the doctor's office, explain the situation in detail, and offer two or three alternative dates to reschedule the check-up.",병원예약,롤플레이
DRA_RP_COM_SPC_03,"That's the end of the situation. Have you ever had to miss an important appointment, or found yourself arriving extremely late for some reason? Tell me in detail about an experience where you had trouble making it to a crucial appointment.",병원예약,롤플레이
DTR_ADV_SEL_Q14_01,You indicated in the survey that you take vacations domestically. Many people feel that traveling has become more challenging over the past five years. Tell me about the changes you have personally observed in the travel industry and how they have affected the overall tourist experience.,국내여행,어드밴스
DTR_ADV_SEL_Q15_02,"When people discuss domestic travel, what are the most common issues or concerns they typically bring up? What exactly causes these frustrations, such as traffic or high costs, and what steps are being taken to resolve these problems for future travelers?",국내여행,어드밴스
DTR_GEN_SEL_CHILD_03,"Tell me about some of the memorable domestic trips you took during your youth. Where did you usually travel, and who accompanied you? Describe the scenery you saw and the activities you enjoyed on those early vacations.",국내여행,일반
DTR_GEN_SEL_DESC_01,"You indicated in the survey that you take vacations domestically. Tell me about the local destinations you enjoy visiting the most. Do you prefer the mountains or the coast, and why do you find those spots appealing?",국내여행,일반
DTR_GEN_SEL_RTN_02,Can you tell me about the specific steps you take to prepare for a domestic trip? Describe what you usually pack in your luggage and how you organize your travel plans.,국내여행,일반
