id,question_id,survey_type,topic_category,topic,question_title,question_english,question_korean,answer_type,audio_url,audio_generated_at,audio_voice
1,SEL_TV_N_C4_01,선택형,일반,TV,좋아하는 TV쇼나 영화 종류 말하기,Tell me more about the kinds of TV shows or movies that you like to watch.,평소에 즐겨보는 TV 프로그램이나 영화 종류에 대해 말씀해 주세요.,description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TV_N_C4_01.wav,2025-10-01 14:31:39.657+00,Aoede
2,SEL_TV_N_C4_02,선택형,일반,TV,"TV/영화 볼 때 언제, 어디서, 누구와, 어떻게 보는지 설명하기",Tell me what you usually do when you watch TV shows or movies. When do you watch it? Who do you watch it with? Where do you watch it? Tell me about your typical routine when you watch TV shows or movies.,"TV나 영화를 볼 때 보통 무엇을 하시나요? 언제 주로 보시나요? 누구와, 어디에서 보시나요? TV나 영화를 볼 때의 전형적인 루틴도 이야기해 주세요.",routine,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TV_N_C4_02.wav,2025-10-01 14:31:56.08+00,Aoede
3,SEL_TV_N_C4_03,선택형,일반,TV,좋아하는 캐릭터가 하는 일 말하기,Pick your favorite TV or movie character and tell me all the things that character does in the show or movie.,"가장 좋아하는 TV나 영화 속 캐릭터를 한 명 골라서, 그 캐릭터가 작품에서 어떤 일들을 하는지 모두 설명해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TV_N_C4_03.wav,2025-10-01 14:32:05.949+00,Aoede
4,SEL_TV_N_C4_04,선택형,일반,TV,어릴 적 TV쇼와 요즘 TV쇼 비교하기,TV shows have definitely changed over time. Describe for me the TV shows that you remember from your childhood. What was the show like? How was it different from the TV shows that are popular today?,"예전에 봤던 TV 프로그램과 요즘 프로그램은 많이 달라졌는데요, 어릴 때 즐겨 봤던 TV 프로그램에 대해 이야기해 주세요. 그 프로그램은 어떤 내용이었고, 지금의 TV 프로그램과는 어떻게 달랐나요?",comparison,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TV_N_C4_04.wav,2025-10-01 14:32:21.475+00,Aoede
5,SEL_TV_N_C4_05,선택형,일반,TV,TV/영화에 관심 갖게 된 계기와 그 변화 설명하기,"Tell me how you first became interested in watching TV or movies, and how that interest has changed or developed from when you first became interested until today.","TV나 영화에 관심을 갖게 된 계기와, 그 관심이 처음과 비교해서 어떻게 변했는지 말씀해 주세요.",comparison,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TV_N_C4_05.wav,2025-10-01 14:32:35.315+00,Aoede
6,SEL_TV_N_C4_06,선택형,일반,TV,최근 본 TV쇼/영화 줄거리 말하기,Tell me about the last TV show or movie that you watched. What was the story about? What happened? Give me all the details about the story.,"최근에 본 TV 프로그램이나 영화에 대해 이야기해 주세요. 어떤 내용이었고, 무슨 일이 있었는지, 최대한 자세하게 설명해 주세요.",past_experience_recent,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TV_N_C4_06.wav,2025-10-01 14:34:37.806+00,Aoede
7,SEL_TRI_N3_01,선택형,일반,국내여행,좋아하는 국내 여행지와 그 이유 설명하기,You indicated in the survey that you take vacations domestically. Tell me some of the places you like to travel and why you like going there.,"국내 여행을 자주 간다고 하셨는데, 주로 어디로 여행을 가는지, 그리고 그곳에 가는 이유는 무엇인지 말씀해 주세요.",description,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TRI_N3_01.wav,2025-10-01 14:34:49.341+00,Aoede
8,SEL_TRI_N3_02,선택형,일반,국내여행,여행 준비할 때 하는 일 전부 말하기,Can you tell me all the things you do in order to prepare to take trips?,여행을 떠나기 전에 준비하는 모든 일들에 대해 설명해 주세요.,routine,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TRI_N3_02.wav,2025-10-01 14:34:57.659+00,Aoede
9,SEL_TRI_N3_03,선택형,일반,국내여행,"어릴 적 여행지, 동행자, 활동 설명하기",Tell me about some of the trips you took in your youth. Where did you go? Who did you go with? And what did you see or do during those early trips?,"어린 시절에 다녀왔던 여행 중 기억에 남는 여행이 있다면, 어디에 누구와 갔고, 그때 무엇을 보고 경험했는지 이야기해 주세요.",past_experience_childhood,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TRI_N3_03.wav,2025-10-01 14:35:15.946+00,Aoede
10,SEL_TRI_N3_04,선택형,일반,국내여행,기억에 남는 여행 경험 전체 상황 설명하기,"Traveling can lead to many kinds of interesting, funny and unexpected experiences. Tell me about one travel experience you had that was unforgettable. Start by telling me when this happened, where you were, and who you were with. Then, tell me about all the things that happened to make that experience so unforgettable.","여행을 하다 보면 특별한 일, 재미있거나 예상치 못한 일이 생기기도 하죠. 잊지 못할 여행 경험을 한 가지 떠올려서, 언제, 어디서, 누구와 있었는지, 그리고 그때 있었던 일들을 자세히 말씀해 주세요.",past_experience_memorable,https://fkkdbnebsaecjpqhhdvl.supabase.co/storage/v1/object/public/audio-recordings/mock-test-questions/SEL_TRI_N3_04.wav,2025-10-01 14:36:19.566+00,Aoede
